Features,Testcase,Result,Note
,Vào Faction Boss -> Edit ID [ID_Boss] -> Cập nhật Battle Attributes -> Save,,
,Vào Faction Boss -> Edit ID [ID_Boss] -> Cập nhật Scout Missions -> Save,,
,Process Deployment chọn Faction Boss -> Process,,
Moment Poster,Vào Moment Poster -> Tìm kiếm [ID_Poster] -> Chọn kết quả,,
,Vào Moment Poster -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Moment Poster -> Click Create -> Điền thông tin -> Save,,
,Vào Moment Poster -> Edit ID [ID_Poster] -> Cập nhật thông tin -> Save,,
,Process Deployment chọn Moment Poster -> Process,,
Perk/Perk Slot,Vào Perk -> Tìm kiếm [ID_Perk] -> Chọn kết quả,,
,Vào Perk -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Perk -> Click Create -> Điền thông tin -> Save,,
,Vào Perk -> Edit ID [ID_Perk] -> Cập nhật thông tin -> Save,,
,Process Deployment chọn Perks -> Process,,
Boost,Vào Boost -> Tìm kiếm [ID_Boost] -> Chọn kết quả,,
,Vào Boost -> Clone ID bất kỳ -> Nhập ID mới -> Save,,
,Vào Boost -> Click Create -> Điền thông tin -> Save,,
,Vào Boost -> Edit ID [ID_Boost] -> Cập nhật thông tin -> Save,,
,Process Deployment chọn Boost -> Process,,
Monthly Bonus,Process Deployment chọn Monthly Bonus -> Process,,
