Features,Testcase,Result,Note
,"Edit an Offer (Common, Details, Display): Vào Offer -> Sửa một ID bất kỳ",,
,"Clone an Offer: Vào Offer -> Clone một ID bất kỳ -> New Offer ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, New Gate: LiveOpsTest ",,
,Import an Offer from CSV -> Vào Offer -> Chọn 2 ID bất kỳ -> Export CSV file offer_test.csv -> Import CSV file offer_test.csv,,
,Import Offers with duplicated OfferID: Vào Offer -> Chọn 2 ID bất kỳ -> Export CSV file offer_test.csv -> Sửa tất cả giá trị trong cột offerid: hieunm_test -> Import CSV file offer_test.csv,,
,Import Offers with the invalid data: Vào Offer -> Chọn 2 ID bất kỳ -> Export CSV file offer_test.csv -> Xóa tất cả giá trị trong cột gate -> Import CSV file offer_test.csv,,
,Open the Segmentation Info: Vào Offer -> Sửa 1 ID bất kỳ -> Đợi trang load -> Bấm vào tab Segmentation Info,,
,"Clone an Offer Section: Vào Offer Section -> Clone 1 ID bất kỳ -> New Section ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, Gate: LiveOpsTest",,
,Edit an Offer Section: Vào Offer Section -> Sửa ID vừa clone,,
,Deploy Offer and view diff: Bấm vào logo The Brick -> Chọn checkbox Offers -> Process,,
PVE,Search for a PVE Book: Vào PVE -> Filter 1 ID bất kỳ,,
,Clone the PVE: Vào PVE -> Clone 1 Book contain LTPVE bất kỳ -> Đợi trang load -> Sửa Book Name: hãy tự generate một ID duy nhất bắt đầu bằng LTPVE_hieunm_test -> Bấm vào nút Create book and Open in V2,,
,Edit the Book Info and Save: Vào PVE -> Sửa 1 Book vừa clone  -> Đợi trang load -> Bấm vào tab Book Information -> Sửa Book Texture Icon: Engagement_PVE_Aug2025_Wkend4 -> Bấm vào nút Save Book Info,,
,"Edit the Chapter (Schedule, Loadout, Rewards) then Save: Vào PVE -> Sửa Book vừa clone -> Đợi trang load -> Sửa Gate trong Chapter Info: LiveOps Test, Start time: 04/27/2026, 19:00, End Time: 05/30/2026, 19:00",,
,Export the Book CSV: Vào PVE -> Chọn 2 Book bất kỳ -> Export CSV file Book_test.csv,,
,Import the Book CSV: Vào PVE -> Import CSV file Book_test.csv,,
,Export the Chapter CSV: Vào PVE -> Sửa Book vừa clone -> Đợi trang load -> Bấm vào tab Import/Export Chapters -> Export Chapter theo BookID file chapter_test.csv,,
,Import the Chapter CSV: Vào PVE -> Sửa Book vừa clone -> Đợi trang load -> Bấm vào tab Import/Export Chapters -> Import Chapter chapter_test.csv,,
,Clone Chapter then Save: Vào PVE -> Sửa Book vừa clone -> Đợi trang load -> Bấm vào nút Clone Chapter -> Bấm vào Chapter 1 -> Save,,
,"Edit the Matches then Save: Vào PVE -> Sửa Book vừa clone -> Đợi trang load -> Bấm vào Normal Matches -> Bấm vào Match 1 -> Sửa SSGroup ID: SS_OOsbourne_Ozzy, 5 Star, Gold -> Save",,
,Turn on the Universal toggle: Vào PVE -> Sửa Book vừa clone -> Đợi trang load -> Sửa toggle Universal Global: on -> Save,,
,"Setup the CSS for the PVE: Vào PVE -> Sửa Book vừa clone -> Đợi trang load -> Sửa toggle Contest Superstar: on -> Sửa RBE: RBE_test_hieunm,  Normal Node 1: SS_OOsbourne_Ozzy, SoftCurrency: 10000,  Hard Node 1: SS_OOsbourne_Ozzy, SoftCurrency: 10000,  Hell Node 1: SS_OOsbourne_Ozzy, SoftCurrency: 10000 -> Save -> Bấm vào logo The Brick",,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox PVE -> Process,,
Gacha,Search for a Gacha event: Vào Gacha Event -> Filter 1 ID bất kỳ,,
,"Clone the Gacha Event: Vào Gacha Event -> Clone 1 ID bất kỳ -> New Event ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, Gate: LiveOpsTest,  radio: Use another currency,  Currency: GachaShard_Mar2026_Weeklong_SkillPlate -> Save",,
,"Edit the Gacha (Info, Display, Pool, Weight) and Save: Vào Gacha Event -> Sửa ID vừa clone -> Đợi trang load",,
,Import the Gacha Pool CSV: Vào Gacha Event -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Gacha Pool -> Đợi trang load -> Export CSV file gacha_pool_test.csv -> Import CSV file gacha_pool_test.csv -> Save,,
,Import the Gacha Weight CSV: Vào Gacha Event -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Gacha Weight -> Đợi trang load -> Export CSV file gacha_weight_test.csv -> Import CSV file gacha_weight_test.csv -> Save,,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox Gacha Events -> Process,,
Currency,Search for a Currency: Vào Currency -> Filter 1 ID bất kỳ,,
,"Create a new Currency by manual: Vào Currency -> Bấm vào nút Add New Currency -> Đợi trang load -> Sửa Gate: LiveOpsTest, Currency ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, CurrencyName: !!BUTTON_CANTUSE, Description: !!BUTTON_CANTUSE, Currency Category: Gacha Token, Icon Texture: Currency_Lootcoin_PC_May2026,  Hard Currency Value: 199.0000 -> Bấm vào nút Create",,
,Create a new Currency by importing the CSV file: Vào Currency -> Chọn 1 ID bất kỳ -> Export CSV file currencies_data_test.csv -> Sửa cột Gate: LiveOpsTest -> Sửa cột Currency ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test -> Import CSV file currencies_data_test.csv,,
,"Clone the Currency: Vào Currency -> Clone 1 ID bất kỳ -> Currency ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test,  Gate: LiveOpsTest",,
,Export the Currency to CSV file: Vào Currency -> Chọn 2 ID bất kỳ -> Export CSV,,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox Currency -> Process,,
Fight Card,Search for a Fight Card event: Vào Fight Card -> Filter 1 ID bất kỳ,,
,"Clone the Fight Card Event: Vào Fight Card -> Clone 1 ID bất kỳ -> FightCard ID: hãy tự generate một ID duy nhất bắt đầu bằng FightCard_hieunm_test, Gate: LiveOpsTest",,
,"Edit the Fight Card Event (Rewards, Slots, PVE and Basic Info): Vào Fight Card V3 -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Fight Card Reward -> Bấm vào nút Add Item -> Sửa Reward: SoftCurrency, Quantity: 100000 -> Save -> Bấm vào tab Fight Card -> Đợi trang load -> Sửa Ticket ID: FightCardGenericTicket, Ticket Cost: 10 -> Save -> Bấm vào logo The Brick",,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox Fight Card -> Process,,
Fight Card Slots,Search for a Fight Card Slot: Vào Fight Card Slot -> Filter 1 ID bất kỳ,,
,"Clone a Slot: Vào Fight Card Slot -> Clone 1 Id bất kỳ -> New Tier ID: hãy tự generate một ID duy nhất bắt đầu bằng SlotID_hieunm_test, Gate: LiveOpsTest",,
,Edit a Slot: Vào Fight Card Slot -> Sửa 1 ID vừa clone,,
Localization,Search for a LOC: Vào Localizations -> Filter 1 ID bất kỳ,,
,"Create a new LOC by manual: Vào Localizations -> Bấm vào nút New Loc -> Sửa Loc ID: !!HIEUNM_TEST_LOC, Gate: LiveOpsTest,  English: This is a test -> Create",,
,Create a new LOC by importing the CSV: Vào Localizations -> Chọn 1 ID bất kỳ -> Export CSV file localization_test.csv -> Sửa cột Record ID: !!HIEUNM_TEST_LOC_1 -> Import CSV file localization_test.csv,,
,"Clone the LOC: Vào Localizations -> Clone 1 ID bất kỳ -> Loc ID: !!HIEUNM_TEST_LOC_2, Gate: LiveOpsTest",,
,Export the LOC: Vào Localizations -> Chọn 2 ID bất kỳ -> Export CSV,,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox Localization -> Process,,
Showdown,Search for a SD event: Vào Versus Tournament -> Filter 1 ID bất kỳ,,
,"Clone the Showdown Event: Vào Versus Tournament -> Clone 1 ID bất kỳ -> New Tournament ID: hãy tự generate một ID duy nhất bắt đầu bằng VS_Tournament_hieunm_test,  Gate: LiveOpsTest",,
,"Edit a SD event (Info, LB Rewards, Division Config, Rule Restriction, and Noto reset bracket) and Save: Vào Versus Tournament -> Sửa ID vừa clone -> Đợi trang load -> Sửa Leaderboard Types: Bracketed,  Bracket Preset: Bracket_Standard_24HR,  PreEvent Phase End Date Time(UTC): 05/29/2026, 00:00, Active Phase Start Date Time (UTC): 05/29/2026, 00:00,  End Date Time (UTC): 06/02/2026, 11:00 -> Save",,
,"Set up the Notoriety reset brackets: Vào Notoriety Reset Brackets -> Bấm vào nut Add NRB -> Sửa Bracket ID: hãy tự generate một ID duy nhất bắt đầu bằng NRB_hieunm_test, Conversion Type: The player league mapping -> Bấm vào nút Add Row -> League: League 10, Drop: 2 -> Save",,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox Versus Tournament -> Process,,
Faction Feud,Search for a Feud: Vào Faction Feud Event -> Filter 1 ID bất kỳ,,
,"Clone the Faction Feud: Vào Faction Feud Event -> Clone 1 ID bất kỳ -> New FF ID: Hãy tự generate một ID duy nhát bắt đầu bằng FF_hieunm_test, Gate: LiveOpsTest -> Đợi trang load -> Sửa Schedules In UTC: 03/10/2026 10:00 AM, 06/02/2026 11:00 AM -> Save",,
,"Edit the Faction Feud Event and Save: Vào Faction Feud Event -> Sửa ID vừa clone -> Đợi trang load -> Sửa Schedules In UTC: 03/10/2026 10:00 AM, 06/02/2026 11:00 AM -> Save",,
,Export the Rewards CSV: Vào Faction Feud Event -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Faction Rewards -> Đợi trang load -> Export CSV file faction_rewards_test.csv,,
,Import the Rewards CSV: Vào Faction Feud Event -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Faction Rewards -> Đợi trang load -> Import CSV file faction_rewards_test.csv,,
,Deploy and view diff: bấm vào logo The Brick -> Chọn checkbox Faction Feud -> Process,,
Grabbag,Search for a Bag: Vào Grab Bag V2 -> Filter 1 ID bất kỳ,,
,"Clone the Grabbag V2: Vào Grab bag V2 -> Clone 1 ID bất kỳ -> Sửa Gate: LiveOpsTest, Grabbag ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test",,
,"Edit the Grabbag (Info, Token, Pull&Pool, Display) then Save: Vào Grab Bag V2 -> Sửa ID vừa clone -> Đợi trang load -> Sửa Schedule in UTC: 05/30/2025 01:00 AM, 06/30/2027 11:00 AM -> Save -> Bấm vào tab Bag Token -> Sửa Gate: LiveOpsTest, Currency Name: !!BUTTON_CANTUSE, Currency Description: !!BUTTON_CANTUSE, Icon Texture: Chest_Champion_Token_Apr2026_Wk1_Store, Currency Category: Bag Token, Hard Currency Value: 199.0000 -> Save",,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox Grab bag -> Process,,
SuperStar,Search any superstars: Vào Superstar -> Filter ID bất kỳ,,
,"Clone the Superstar: Vào Superstar -> Clone ID SS_BBreakker_Vision -> New Superstar ID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, Gate: LiveOpsTest",,
,Edit the Superstar Info then Save: Vào Superstar -> Sửa ID vừa clone -> Đợi trang load -> Sửa Era: Reality -> Save,,
,Deploy and observe: Bấm vào logo The Brick -> Chọn checkbox Superstars -> Process,,
Faction Boss,Search for a Boss event: Vào Faction Boss Battle -> Filter 1 ID bất kỳ,,
,Clone the Faction Boss: Vào Faction Boss Battle -> Clone 1 ID bất kỳ -> Faction Boss Battle Name: hãy tự generate một ID duy nhất bắt đầu bằng BossEvent_hieunm_test.,,
,Edit the Battle Details then Save: Vào Faction Boss Battle -> Sửa ID vừa clone -> Đợi trang load -> Sửa Gate: LiveOpsTest -> Save,,
,Edit the Boss Details then Save: Vào Faction Boss Battle -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Boss Details -> Đợi trang load -> Sửa Wrestler ID: SS_JohnCena_Jersey -> Save,,
,Edit the Battle Attributes then Save: Vào Faction Boss Battle -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Battle Attributes -> Đợi trang load -> Sửa Boost ID: BA_AndreFB_Inc_Purple_Gem -> Save,,
,Edit the Scout Missons then Save: Vào Faction Boss Battle -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào tab Scout Missions -> Đợi trang load -> Sửa Battle Start Time: 2025-06-02 01:00 -> Save,,
,Deploy and view diff: Bấm vào logo The Brick -> Chọn checkbox Faction Boss -> Process,,
Moment Poster,Search for a Moment Poster: Data Configs -> Moment Poster-> Filter 1 ID bất kỳ,,
,"Clone the Moment Poster: Vào Moment Poster -> Clone 1 ID bất kỳ -> Đợi trang load -> Sửa Gate: LiveOpsTest, Moment Poster Name: !!BUTTON_CANTUSE, Moment Poster ID: hãy tự generate một ID duy nhất bắt đầu bằng Moment_hieunm_test -> Save",,
,Deploy and check diff: Bấm vào logo the Brick -> Chọn checkbox Moment Poster -> Process,,
Perk/Perk Slot,Search for a Perk/Perk Slot: Vào Perk -> Filter 1 ID bất kỳ,,
,"Clone the Perk/Perk Slot: Vào Perk -> Clone 1 ID bất kỳ -> New Key: hãy tự generate một ID duy nhất bắt đầu bằng Perk_hieunm_test, Gate: LiveOpsTest",,
,"Edit a Perk/Perk Slot: Vào Perk -> Sửa ID vừa clone -> Đợi trang load -> Bấm vào nút Add Level -> Sửa Boost: Perk_Trap_Gem_Damage_Perc_100, Currency: SoftCurrency, Cost: 1000 -> Save",,
,Deploy and check diff: Bấm vào logo the Brick -> Chọn checkbox Perks -> Process,,
Boost,Search for a Boost: Vào Boost -> Filter 1 ID bất kỳ,,
,"Clone the Boost via CSV: Vào Boost -> Chọn 1 ID bất kỳ -> Export CSV file boost_data_test.csv -> Sửa cột BoostID: hãy tự generate một ID duy nhất bắt đầu bằng hieunm_test, Gate: LiveOpsTest -> Import CSV file boost_data_test.csv",,
,Edit a Boost: Vào Boost -> Sửa ID vừa clone -> Đợi trang load -> Sửa Boost result value1: 500 -> Save,,
,Deploy and check diff: Bấm vào logo the Brick -> Chọn checkbox Boost -> Process,,
